,chl-a_lake,peak_date,peak_day,Pptn,Temp,Wind_speed,PET,Q,TP_catch,TP_lake,colour_lake,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
1995,40.5,1995-08-16,228.0,203.98890002000002,16.001099590241758,3.5087912087912083,338.92680689199995,241.84099999999998,94.72,29.65,27.25,,32.0,6.0,10.0,27.0,32.0,14.0,0.0
1996,32.6,1996-07-01,183.0,169.302937559,9.619504951296703,3.6230769230769235,214.013343717,411.485,181.7769230769231,28.950000000000003,21.0,1.83,29.0,4.0,12.0,33.0,35.0,17.0,1.0
1997,29.5,1997-07-03,184.0,146.488455483,10.707056953912089,3.7626373626373626,232.65417454,193.96600000000004,37.25384615384615,27.25,23.5,1.85,24.0,5.0,8.0,28.0,38.0,21.0,0.0
1998,28.7,1998-08-26,238.0,280.26780762199996,14.663858601318681,3.545054945054945,323.259503893,154.792,52.823076923076925,33.1,,2.28,45.0,8.0,6.0,31.0,33.0,13.0,0.0
1999,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,40.4,2000-08-29,242.0,233.916306537,15.050487234021977,3.606593406593407,319.07895429099995,145.67899999999997,38.76923076923077,33.6,43.45454545454545,4.67,37.0,7.0,3.0,28.0,32.0,14.0,0.0
2001,29.2,2001-08-08,220.0,229.01555205699998,15.337096344010988,3.8868131868131868,332.705904916,153.38299999999998,65.0,42.25,73.3076923076923,0.551,27.0,8.0,5.0,16.0,39.0,17.0,0.0
2002,38.0,2002-08-28,240.0,290.540651926,17.843521213296704,3.167032967032967,364.541483653,299.3380000000001,50.166666666666664,37.8,55.69230769230769,0.982,32.0,10.0,19.0,44.0,24.0,12.0,0.0
2003,26.5,2003-07-23,204.0,278.69791934500006,14.199691915274723,3.6923076923076925,308.461046887,335.146,71.33333333333333,31.333333333333332,49.0,1.119,45.0,6.0,5.0,23.0,38.0,16.0,0.0
2004,53.0,2004-06-30,182.0,177.006747636,11.348910491681318,3.6835294117647055,241.741507571,228.04399999999998,,42.0,37.5,5.26,29.0,6.0,8.0,23.0,39.0,11.0,0.0
2005,31.0,2005-07-04,185.0,156.06230656499997,11.081274040604397,3.6425287356321836,234.829468641,210.63,44.166666666666664,27.833333333333332,53.333333333333336,2.6669,27.0,5.0,4.0,30.0,35.0,15.0,0.0
2006,57.0,2006-09-04,247.0,271.158376345,18.07925055,3.279120879120879,361.434904835,53.397999999999996,,34.07142857142857,45.0,4.5602,32.0,11.0,12.0,40.0,30.0,10.0,0.0
2007,26.0,2007-07-16,197.0,355.418334655,13.874764844285714,3.3677777777777775,293.253737187,407.273,105.77272727272727,32.92307692307692,71.0,3.588,40.0,10.0,9.0,39.0,24.0,15.0,0.0
2008,35.0,2008-07-28,210.0,225.23663138999999,15.155525402791207,3.1122222222222224,328.851026012,137.91599999999997,39.0,35.46153846153846,58.333333333333336,0.559,23.0,11.0,10.0,45.0,25.0,9.0,0.0
2009,28.0,2009-06-22,173.0,121.51070218999999,10.262835355494506,3.3494505494505495,223.29111209099997,614.62,62.27272727272727,29.875,67.75,1.438,23.0,3.0,11.0,32.0,25.0,9.0,4.0
2010,24.0,2010-06-28,179.0,186.019487832,10.544470102087912,3.0833333333333335,226.148574483,627.7670000000002,78.35714285714286,27.0,65.25,0.093,25.0,6.0,12.0,40.0,18.0,4.0,0.0
2011,21.0,2011-07-04,185.0,235.07103377599998,12.822584225934067,3.331868131868131,258.111520424,633.892,57.733333333333334,26.09090909090909,70.61538461538461,0.042,30.0,9.0,10.0,43.0,28.0,13.0,0.0
2012,28.0,2012-06-11,163.0,175.87721826900002,8.816660891472527,3.398876404494382,179.391859035,41.73199999999999,64.26666666666667,27.333333333333332,65.6923076923077,0.005,27.0,6.0,8.0,35.0,24.0,9.0,0.0
2013,30.0,2013-08-05,217.0,258.840586401,16.181138227615385,3.7857142857142856,340.33555903999996,517.5740000000001,51.666666666666664,23.3,68.2625,0.36,35.0,6.0,3.0,17.0,45.0,11.0,0.0
2014,17.0,2014-06-10,161.0,163.398195673,9.578177983747253,3.5483516483516486,177.29278740699996,268.432,56.07692307692308,20.25,58.825,0.113,25.0,5.0,8.0,37.0,29.0,18.0,0.0
2015,34.0,2015-08-19,231.0,283.79027145000003,14.839259016329672,3.9527472527472525,324.24168467600003,274.41300000000007,51.875,22.714285714285715,47.0,0.233,35.0,9.0,2.0,22.0,46.0,18.0,0.0
2016,16.0,2016-08-15,228.0,279.09019595399997,16.208895449120877,3.8120879120879114,348.78093199299997,78.538,58.0,18.928571428571427,52.0,0.163,37.0,9.0,2.0,18.0,41.0,17.0,0.0
2017,21.0,2017-07-31,212.0,184.27286060900002,14.849318701362636,3.7736263736263735,323.998905069,221.748,32.285714285714285,19.142857142857142,43.333333333333336,0.232,36.0,5.0,2.0,23.0,37.0,17.0,0.0
2018,16.0,2018-10-08,281.0,195.961010589,15.87076359964835,4.084615384615384,,25.526,,19.0,30.0,0.614,29.0,5.0,3.0,20.0,44.0,25.0,0.0
