Date,TP,TDP,SRP,SS,SS_min
1988-02-01,28.2,12.6,7.0,7.6,6.3
1988-02-17,79.2,16.8,14.3,24.0,20.6
1988-02-22,28.8,21.0,8.3,7.5,6.4
1988-03-04,21.0,11.4,10.8,4.0,2.6
1988-03-18,31.8,13.8,10.5,3.5,2.4
1988-03-25,31.8,20.4,12.0,4.3,3.6
1988-04-12,42.5,14.4,8.0,23.4,20.9
1988-04-18,202.0,15.0,10.0,129.0,117.0
1988-04-20,63.0,7.2,5.5,487.0,442.0
1988-04-22,66.0,13.2,6.0,57.2,51.3
1988-04-25,48.0,9.0,5.5,26.4,22.1
1988-04-27,41.4,16.4,4.5,18.6,16.4
1988-05-02,39.0,18.4,4.5,20.0,17.2
1988-05-04,47.4,8.4,4.8,24.2,21.4
1988-05-05,56.4,9.6,5.0,17.3,16.0
1988-05-09,31.8,10.2,4.0,14.1,12.1
1988-05-13,28.2,20.4,2.0,10.3,8.7
1988-05-16,30.6,10.8,4.5,9.9,7.6
1988-05-19,25.8,8.4,3.5,8.2,6.9
1988-05-24,25.4,4.4,1.6,6.5,4.9
1988-05-26,30.4,11.0,5.0,9.6,7.5
1988-05-31,36.4,22.2,5.0,9.6,7.5
1988-06-02,36.8,25.2,4.5,10.7,8.8
1988-06-06,112.4,32.4,23.0,68.6,61.6
1988-06-07,62.6,13.4,13.0,25.8,23.0
1988-06-10,35.0,12.8,7.5,9.9,7.9
1988-06-13,32.6,11.4,6.5,4.6,1.9
1988-06-16,41.6,5.2,2.8,8.0,6.3
1988-06-21,30.4,14.7,6.5,8.0,5.8
1988-06-24,35.0,6.8,3.5,8.6,6.3
1988-06-27,27.2,6.2,4.5,7.7,5.1
1988-07-01,30.8,7.8,2.8,6.6,4.4
1988-07-05,31.8,7.6,2.0,7.5,4.8
1988-07-07,38.9,5.4,3.0,9.2,6.8
1988-07-12,95.0,25.2,18.8,55.2,48.8
1988-07-15,106.2,31.8,26.5,43.0,37.3
1988-07-21,52.2,11.4,8.0,21.4,18.0
1988-07-25,42.6,9.0,7.5,19.5,15.6
1988-07-29,36.6,10.2,5.0,13.1,9.9
1988-08-11,32.4,10.2,3.5,9.4,7.4
1988-08-17,106.0,27.0,19.0,5.0,2.6
1988-08-22,99.0,18.6,12.0,73.4,65.1
1988-08-26,15.6,8.1,5.3,13.0,11.2
1988-08-31,33.6,13.2,10.8,11.0,8.9
1988-09-05,36.6,25.2,7.8,29.8,26.4
1988-09-09,50.4,9.0,5.0,10.0,8.1
1988-09-13,39.0,7.2,6.8,13.0,10.6
1988-09-16,37.5,6.6,6.3,5.6,2.7
1988-09-21,29.4,19.2,12.0,6.3,4.7
1988-09-26,110.4,26.4,16.7,43.7,39.7
1988-09-30,106.8,24.0,16.2,47.8,40.5
1988-10-04,34.6,29.4,7.7,5.9,5.2
1988-10-07,26.4,17.2,11.2,13.0,10.8
1988-10-10,114.0,28.3,25.2,182.9,166.4
1988-10-13,37.8,13.6,13.0,7.9,6.9
1988-10-14,115.2,46.2,36.5,169.3,152.7
1988-10-18,33.6,15.8,13.5,7.0,6.1
1988-10-21,29.2,13.0,10.8,8.0,6.5
1988-10-25,29.2,13.6,12.5,5.0,3.8
1988-10-27,27.4,14.8,13.5,14.8,12.6
1988-10-28,44.8,26.6,23.0,89.0,77.0
1988-11-01,31.2,13.6,11.5,6.9,5.7
1988-11-04,26.2,16.2,12.2,5.3,4.3
1988-11-09,26.0,17.4,13.3,4.4,3.6
1988-11-11,30.2,14.6,12.0,6.3,5.0
1988-11-29,25.4,20.6,12.3,3.7,3.0
1988-12-06,31.4,17.6,15.3,3.7,2.7
1988-12-20,36.0,17.6,17.0,4.0,3.3
1989-01-20,28.0,13.5,8.9,11.6,10.7
1989-01-26,31.0,13.8,9.8,7.4,6.6
1989-01-31,63.0,10.4,7.5,23.7,20.8
1989-02-09,65.2,13.6,11.0,25.7,22.3
1989-02-15,128.0,18.8,16.5,122.0,112.0
1989-02-17,86.8,18.4,12.5,40.6,37.2
1989-02-21,56.7,17.2,13.0,22.2,20.2
1989-02-28,141.0,15.8,12.0,113.0,102.0
1989-03-02,95.8,20.2,13.0,60.0,55.2
1989-03-07,141.0,16.0,13.5,115.0,106.0
1989-03-09,155.0,18.4,16.0,138.0,127.0
1989-03-14,209.0,23.0,18.5,253.0,234.0
1989-03-16,46.6,11.2,8.5,62.8,54.8
1989-03-20,33.6,17.4,7.5,44.8,33.6
1989-03-29,27.8,16.2,7.0,12.4,10.7
1989-04-03,28.8,7.2,4.5,7.0,5.5
1989-04-07,27.6,11.4,4.8,5.9,4.3
1989-04-12,66.0,17.4,12.5,85.7,77.1
1989-04-13,104.0,17.4,4.6,53.0,48.4
1989-04-14,54.0,13.8,10.0,23.7,21.4
1989-04-20,35.4,17.9,6.2,8.0,6.0
